Temperature_C,Vdc_V,Vsc_V,C,epsilon_r
30,2.93,0.36,0.1228668941979522,0.9086013196089983
35,2.93,0.37,0.12627986348122866,0.9338402451536928
40,2.93,0.37,0.12627986348122866,0.9338402451536928
45,2.91,0.41,0.14089347079037798,1.0419079469704942
50,2.92,0.42,0.14383561643835616,1.0636651292911277
55,2.91,0.44,0.15120274914089346,1.1181451138219938
60,2.92,0.42,0.14383561643835616,1.0636651292911277
65,2.97,0.38,0.12794612794612795,0.9461622795105301
70,2.97,0.37,0.12457912457912457,0.9212632721549898
75,2.97,0.38,0.12794612794612795,0.9461622795105301
80,2.96,0.38,0.12837837837837837,0.9493587736980656
85,2.96,0.39,0.13175675675675677,0.9743418993216991
90,2.96,0.39,0.13175675675675677,0.9743418993216991
95,2.78,0.41,0.1474820143884892,1.0906302610374599
100,2.95,0.41,0.1389830508474576,1.0277803815878432
105,2.95,0.44,0.14915254237288134,1.1029838241430514
110,2.94,0.45,0.15306122448979592,1.1318885486625703
112,2.93,0.4023529411764706,0.13732182292712306,1.0154955925041746
113,2.92,0.4123529411764708,0.14121676067687358,1.0442986773572562
114,2.91,0.4223529411764706,0.1451384677582373,1.0732997215564057
115,2.9,0.43235294117647083,0.14908722109533476,1.10250077295693
116,2.9,0.43235294117647083,0.14908722109533476,1.10250077295693
117,2.89,0.4423529411764706,0.15306330144514554,1.131903907758149
118,2.87,0.46235294117647063,0.16109858577577374,1.191324877042843
119,2.85,0.48235294117647065,0.16924664602683182,1.2515798248438137
120,2.83,0.5023529411764707,0.17750987320723344,1.312686432684374
121,2.81,0.5223529411764707,0.18589072639732052,1.3746628854764011
123,2.74,0.5923529411764705,0.21618720480893083,1.598705500405244
124,2.7,0.6323529411764706,0.23420479302832242,1.7319456587015507
125,2.6,0.7323529411764707,0.2816742081447964,2.0829822295975897
126,2.43,0.9023529411764706,0.3713386589203582,2.746051307956774
127,2.16,1.1723529411764706,0.542755991285403,4.013683369525803
128,1.95,1.3823529411764708,0.708898944193062,5.242311367661941
129,1.85,1.4823529411764707,0.8012718600953895,5.925409559675853
130,1.85,1.4823529411764707,0.8012718600953895,5.925409559675853
131,1.9,1.4323529411764708,0.7538699690402478,5.574872329563451
132,1.94,1.3923529411764708,0.7177077016373561,5.307452174632339
133,1.97,1.3623529411764708,0.6915497163332339,5.114013737689784
134,2.01,1.322352941176471,0.6578870354111797,4.86507803774381
135,2.05,1.282352941176471,0.6255380200860834,4.625856901698166
136,2.08,1.2523529411764707,0.6020927601809954,4.452479083145852
137,2.12,1.2123529411764706,0.5718645948945615,4.228941644131865
138,2.16,1.1723529411764706,0.542755991285403,4.013683369525803
139,2.19,1.1423529411764708,0.5216223475691648,3.8573999646748285
140,2.23,1.1023529411764708,0.49432867317330526,3.6555631010107867
141,2.26,1.072352941176471,0.47449245184799604,3.508874141467342
142,2.29,1.0423529411764707,0.4551759568456204,3.366028560776562
143,2.32,1.012352941176471,0.4363590263691685,3.226877262345028
144,2.34,0.9923529411764709,0.42408245349421836,3.1360919422857076
145,2.37,0.9623529411764706,0.4060560933234053,3.00278691536316
146,2.39,0.9423529411764706,0.3942899335466404,2.9157761028112046
147,2.42,0.9123529411764708,0.377005347593583,2.7879565000747597
148,2.45,0.8823529411764706,0.3601440576230492,2.663267173323695
149,2.47,0.8623529411764705,0.3491307454155751,2.5818236724498553
150,2.49,0.8423529411764705,0.3382943538861327,2.5016885009073224
151,2.51,0.822352941176471,0.32763065385516776,2.422830383891366
152,2.52,0.8123529411764707,0.32236227824463126,2.383870718937052
153,2.55,0.7823529411764709,0.3068050749711651,2.2688251200719645
154,2.57,0.7623529411764709,0.29663538567177855,2.193620214977276
155,2.59,0.7423529411764709,0.2866227572109926,2.119576775598336
156,2.61,0.7223529411764709,0.27676357899481646,2.0466681015738626
157,2.64,0.6923529411764706,0.2622549019607843,1.939376359685574
